GENE_SYMBOL,baseMean,logFC,lfcSE,stat,pvalue,Adj.p.values,log10Adj.p.values
CSF3,68.07407089,4.852361822,0.495003666,125.7855201,3.42578E-29,1.68576E-26,25.77320426
SPRR2E,47.14769756,3.599939767,0.437272219,77.22442208,1.52595E-18,4.17161E-16,15.3796963
CXCL5,104.7036113,3.487230856,0.301829295,144.9722293,2.17787E-33,1.33961E-30,29.87302162
CCL20,412.3346515,3.146090204,0.165707623,-18.98579046,2.23547E-80,1.37504E-76,75.86168467
SPRR2D,365.3761159,2.981176529,0.197298091,-15.11001204,1.39114E-51,2.13923E-48,47.66974252
CSF2,45.55891098,2.981076824,0.412380312,54.7761391,1.35071E-13,2.8649E-11,10.54289053
IL6,114.4239897,2.928613881,0.275167504,114.847479,8.49892E-27,3.6053E-24,23.44305859
IFI27,319.9808809,2.897123086,0.374411061,-7.737813832,1.01141E-14,2.18287E-12,11.66097213
IL36G,271.4482972,2.73429441,0.17755659,238.3942603,8.80711E-54,2.70863E-50,49.56725032
XAF1,94.74943781,2.533035725,0.31835858,-7.956549274,1.76904E-15,4.03013E-13,12.39468094
MX1,427.8200828,2.51217385,0.198363082,-12.66452316,9.29836E-37,6.72873E-34,33.1720669
PDZK1IP1,133.0491871,2.429979913,0.244169051,-9.952038994,2.47068E-23,8.6841E-21,20.06127518
SAA2,576.0236324,2.424541694,0.128532569,-18.86324782,2.28728E-79,9.37939E-76,75.02782541
IFI6,203.7141021,2.346980119,0.565276552,-4.151914863,3.29705E-05,0.001940684,2.712045175
IL8,2374.644028,2.335173177,0.105233781,-22.1903381,4.2578E-109,5.238E-105,104.2808345
BCL2A1,66.24791834,2.290272197,0.326753143,49.93958219,1.58554E-12,3.19759E-10,9.495177223
MMP9,318.4500932,2.287329667,0.218545417,-10.46615251,1.23564E-25,4.90348E-23,22.30949559
IFI44L,134.2364397,2.280814132,0.6277324,-3.633417888,0.000279691,0.012030646,1.919711052
CXCL3,156.2324207,2.232358052,0.263841592,-8.460978543,2.65143E-17,6.93998E-15,14.15864178
SAA1,3317.372752,2.223957417,0.138607282,-16.04502586,6.19331E-58,1.90475E-54,53.72016202
MX2,60.85341305,2.222307293,0.373385235,-5.951781394,2.6524E-09,3.79416E-07,6.420884359
PGLYRP4,104.2198601,2.039496417,0.236218072,75.85553761,3.05195E-18,8.16198E-16,15.08820447
TNFSF14,33.04432667,1.994627993,0.41285483,23.67860114,1.13841E-06,9.93246E-05,4.002943175
MRGPRX3,26.45569136,1.96104027,0.466654497,17.82849914,2.41735E-05,0.001494386,2.82553721
VNN1,49.19202262,1.885235063,0.341536378,30.6242037,3.13163E-08,3.74032E-06,5.427091241
C1QTNF1,112.4996391,1.874193877,0.243579187,-7.694392524,1.42168E-14,3.01543E-12,11.52065075
S100A8,1707.558374,1.871403901,0.121591018,-15.39097154,1.88185E-53,3.85843E-50,49.41358937
ICAM1,1885.245505,1.863934773,0.13132363,-14.19344541,1.00593E-45,9.74681E-43,42.0111375
CFB,789.5046709,1.856943481,0.132695089,-13.9940633,1.69448E-44,1.48896E-41,40.82711697
GBP5,28.63619206,1.833151388,0.476507924,-3.847053312,0.000119547,0.005930108,2.226937397
INHBA,1217.265794,1.821223901,0.121117719,-15.03680809,4.21384E-51,5.75985E-48,47.23958883
TNF,35.12527681,1.809097787,0.391529108,21.81282908,3.00584E-06,0.000229676,3.638884384
PI3,71.22527732,1.802981151,0.298968488,-6.030672878,1.63278E-09,2.41519E-07,6.617048698
KRT24,33.58443383,1.798755072,0.403926033,20.24915657,6.79834E-06,0.00048624,3.313149317
CXCL6,28.97124268,1.73228047,0.450459769,15.05977026,0.00010416,0.005273138,2.277930863
OAS1,197.5431916,1.697509317,0.1885091,-9.004919751,2.15824E-19,6.47576E-17,16.18870926
SPRR2A,506.6641902,1.689861909,0.155894407,-10.83978532,2.22994E-27,9.79739E-25,24.0088896
ZC3H12A,870.9271457,1.676098106,0.136181724,-12.30780506,8.22291E-35,5.32412E-32,31.27375216
BIRC3,269.946667,1.663540127,0.170346735,-9.765612024,1.58154E-22,5.12003E-20,19.29072749
LTB,27.11112867,1.640632278,0.437969511,14.1335655,0.000170278,0.007964874,2.09882109
IFITM1,113.5989393,1.616884357,0.237888149,-6.796826009,1.06949E-11,1.96371E-09,8.706922648
TNFAIP3,2289.431468,1.613686484,0.10570508,-15.26593123,1.28973E-52,2.26661E-49,48.6446232
IRAK2,190.4156231,1.601889621,0.181927817,-8.805083501,1.30755E-18,3.6558E-16,15.43701757
RBM20,21.28263711,-1.581691741,0.491509532,10.5019423,0.001192491,0.037276388,1.428566176
IRF7,54.90470019,1.575217374,0.335556715,-4.694340186,2.67469E-06,0.00020958,3.678650164
IFITM10,194.4429149,-1.568796166,0.222246143,7.058822922,1.67919E-12,3.38646E-10,9.47025405
LOC645638,26.9836764,1.554008497,0.491511579,-3.161692547,0.001568551,0.0459436,1.337774978
TNFAIP2,736.2916768,1.551551269,0.145378445,-10.67249871,1.36895E-26,5.80717E-24,23.23603546
KRT6B,2804.136584,1.550349726,0.109031781,-14.21924612,6.95987E-46,7.78366E-43,42.10881614
SOD2,2001.882444,1.521586969,0.117493346,-12.95040968,2.33704E-38,1.79689E-35,34.74547851
RND1,55.38227091,1.518487009,0.318643601,22.76325785,1.83236E-06,0.000152308,3.817277285
NANOS1,33.97159896,-1.51573542,0.395465781,3.832785266,0.000126701,0.006209841,2.20691952
C3,6337.632134,1.510821787,0.105812221,-14.27832983,2.98674E-46,3.67429E-43,42.43482657
STON1,30.61021002,-1.506072592,0.404171375,3.726321764,0.000194294,0.008885536,2.051316369
C8orf4,52.90052159,1.471708626,0.370265461,-3.97473916,7.04564E-05,0.003736013,2.427591621
SERPINA3,2126.88061,1.469928845,0.146086561,-10.06204014,8.12959E-24,3.03061E-21,20.51846995
CXCL14,100.6600036,-1.446341807,0.268047004,5.395851422,6.81994E-08,7.55846E-06,5.121566681
MYLK,90.68030293,-1.426723178,0.264517215,5.393687438,6.90262E-08,7.58179E-06,5.120228249
CXCL1,1802.082249,1.419441035,0.103760268,-13.68000553,1.33683E-42,1.09637E-39,38.96004286
TRIML2,46.97140479,1.399532845,0.342913857,16.77260559,4.21372E-05,0.002433673,2.613737776
PLAT,444.1584488,1.397149728,0.142225033,-9.823514895,8.91787E-23,3.04744E-20,19.51606484
CXCL2,592.6843801,1.393457744,0.156055832,-8.929225667,4.29001E-19,1.25656E-16,15.90081677
MAP7D2,54.27471523,-1.393441877,0.313714573,4.441750548,0.000008923,0.000613244,3.212366692
RHCG,1094.757908,1.350891085,0.116695235,-11.57623179,5.43845E-31,3.04108E-28,27.51697215
OAS3,976.3912554,1.31993429,0.132387511,-9.970232705,2.05746E-23,7.44438E-21,20.12817147
