"GENE_SYMBOL","baseMean","log2FoldChange","abs.log2FC.","lfcSE","stat","pvalue","padj","Log_FoldChange","absLogFC","logCPM","PValue","FDR_adjusted_P.value"
"ADAM8",198.2004455,1.016403529,1.016403529,0.194760038,-5.21874784,1.80137e-07,1.80166e-05,1.371,1.371,5.43,2.94474e-12,7.35108e-11
"ATG9B",66.00409897,-1.128920705,1.128920705,0.282207106,4.000326994,6.3255e-05,0.003398093,0.611,0.611,-2.069,0.264148639,0.380703673
"BCL2A1",66.24791834,2.290272197,2.290272197,0.326753143,49.93958219,1.58554e-12,3.19759e-10,1.444,1.444,2.405,1.60698e-08,2.17999e-07
"BIRC3",269.946667,1.663540127,1.663540127,0.170346735,-9.765612024,1.58154e-22,5.12003e-20,1.78,1.78,1.678,1.90268e-13,5.61615e-12
"BST2",55.33769544,1.294052908,1.294052908,0.319107184,-4.055229628,5.00851e-05,0.002775435,4.992,4.992,3.031,2.71987e-47,8.86598e-45
"C15orf48",897.1370916,1.238035293,1.238035293,0.105938157,-11.68639633,1.49601e-31,9.20193e-29,1.569,1.569,5.281,3.96643e-09,5.97942e-08
"C1QTNF1",112.4996391,1.874193877,1.874193877,0.243579187,-7.694392524,1.42168e-14,3.01543e-12,0.464,0.464,3.036,0.0178084,0.043262888
"C3",6337.632134,1.510821787,1.510821787,0.105812221,-14.27832983,2.98674e-46,3.67429e-43,0.842,0.842,5.433,8.68458e-07,8.10176e-06
"C6orf223",45.17090343,1.157063788,1.157063788,0.365317292,-3.167284479,0.001538697,0.045284814,-0.176,0.176,3.192,0.398922563,0.522998734
"C8orf4",52.90052159,1.471708626,1.471708626,0.370265461,-3.97473916,7.04564e-05,0.003736013,2.857,2.857,-3.179,2.19692e-05,0.000142401
"CCL20",412.3346515,3.146090204,3.146090204,0.165707623,-18.98579046,2.23547e-80,1.37504e-76,1.315,1.315,2.498,5.30656e-07,5.23258e-06
"CFB",789.5046709,1.856943481,1.856943481,0.132695089,-13.9940633,1.69448e-44,1.48896e-41,3.943,3.943,0.436,5.07398e-33,8.91594e-31
"CSF2",45.55891098,2.981076824,2.981076824,0.412380312,54.7761391,1.35071e-13,2.8649e-11,0.519,0.519,1.047,0.082077649,0.151157823
"CSF3",68.07407089,4.852361822,4.852361822,0.495003666,125.7855201,3.42578e-29,1.68576e-26,1.431,1.431,4.266,1.06872e-08,1.4921e-07
"CXCL1",1802.082249,1.419441035,1.419441035,0.103760268,-13.68000553,1.33683e-42,1.09637e-39,1.021,1.021,4.916,2.82601e-06,2.31053e-05
"CXCL14",100.6600036,-1.446341807,1.446341807,0.268047004,5.395851422,6.81994e-08,7.55846e-06,-2.099,2.099,1.701,8.47428e-07,7.91872e-06
"CXCL2",592.6843801,1.393457744,1.393457744,0.156055832,-8.929225667,4.29001e-19,1.25656e-16,0.907,0.907,3.419,0.000632537,0.002604251
"CXCL3",156.2324207,2.232358052,2.232358052,0.263841592,-8.460978543,2.65143e-17,6.93998e-15,0.895,0.895,3.302,0.010158179,0.026933603
