GENE_SYMBOL,adj.P.Val,P.Value,t,B,logFC,abs_logFC
SERPINB9,0.0000185,8.66E-08,12.0506679,8.542912473,1.06251395,1.06251395
OASL,0.0000185,8.68E-08,12.04824003,8.540819005,2.628310864,2.628310864
LOC284240,0.0000194,0.000000093,11.96989347,8.473031758,2.367395516,2.367395516
SF3A2,0.0000197,9.55E-08,11.93986384,8.446929788,1.702590278,1.702590278
ZMIZ1,0.0000198,9.73E-08,11.91792693,8.427819936,1.078514532,1.078514532
IL6,0.0000201,0.000000101,11.87959775,8.394344651,1.659489071,1.659489071
DDIT3,0.0000203,0.000000103,11.8502326,8.368624206,1.703635905,1.703635905
JPH3,0.0000203,0.000000103,11.85360357,8.371580056,1.121682458,1.121682458
PHLDA2,0.0000203,0.000000104,11.84691182,8.365711545,1.097881342,1.097881342
ZC3HAV1,0.0000204,0.000000105,11.83153807,8.35221642,1.49490335,1.49490335
IL17C,0.0000206,0.000000108,11.80575473,8.329543964,1.998280373,1.998280373
ZNF319,0.0000217,0.000000115,11.72955331,8.262243964,1.02553668,1.02553668
PPP1R3G,0.0000222,0.000000119,11.68934579,8.226555982,1.985205047,1.985205047
LTA,0.0000225,0.000000123,11.65761512,8.198305016,2.43481274,2.43481274
LCE1E,0.0000244,0.000000139,11.52076881,8.075579173,1.258699086,1.258699086
KIFC3,0.0000265,0.000000155,11.39932022,7.965442104,1.896006773,1.896006773
FASN,0.000027,0.000000161,11.35617477,7.926035485,1.49406368,1.49406368
TMEM151A,0.000027,0.000000163,11.34745406,7.918052536,1.099314322,1.099314322
C20orf141,0.000027,0.000000167,11.31819455,7.891224133,1.276487416,1.276487416
S100A7,0.000027,0.000000168,-11.31549871,7.888748847,-1.877122194,1.877122194
C2CD4D,0.0000279,0.000000187,11.19684993,7.779229622,2.902937177,2.902937177
TRIM14,0.0000284,0.000000201,11.12076141,7.708396534,1.342037914,1.342037914
RCOR1,0.0000284,0.000000201,11.12109929,7.708712114,1.018554972,1.018554972
KIAA0664,0.0000284,0.000000205,11.09978286,7.688783869,1.168610531,1.168610531
IL8,0.0000292,0.000000216,11.04464606,7.637064597,1.422707002,1.422707002
B4GALT7,0.0000303,0.000000228,10.98492687,7.580763662,1.65151563,1.65151563
RHOB,0.0000305,0.000000233,10.96378918,7.56076488,1.009801271,1.009801271
RPS15AP10,0.0000305,0.000000235,-10.95284038,7.550391358,-1.098349376,1.098349376
SLC6A8,0.0000306,0.000000237,10.94325981,7.541305949,2.401405797,2.401405797
BNC2,0.0000307,0.000000239,10.93527963,7.533732371,4.168939633,4.168939633
DNAH10OS,0.0000311,0.000000245,10.90848026,7.50825939,2.480164812,2.480164812
ADAMTSL5,0.0000315,0.000000259,10.85141826,7.45382031,1.477800222,1.477800222
DIRC1,0.0000332,0.000000291,10.73062764,7.33767062,1.18549698,1.18549698
ARHGAP42,0.0000344,0.000000304,10.68520426,7.293669159,1.5119258,1.5119258
LOC100130899,0.0000347,0.000000309,10.66906985,7.277996959,1.149188516,1.149188516
PROSER1,0.0000356,0.00000033,10.60175572,7.212367487,2.667863214,2.667863214
KRTAP19-2,0.0000357,0.000000334,10.58889971,7.199788326,1.411979532,1.411979532
GDF15,0.0000375,0.000000358,10.51663477,7.128809887,1.06786309,1.06786309
SPRR2A,0.0000376,0.000000362,-10.50519551,7.117532121,-1.132766284,1.132766284
FAM46A,0.0000388,0.000000383,10.44841561,7.061382287,1.14370357,1.14370357
LOC100129726,0.0000388,0.000000386,10.4413115,7.054336848,1.326689579,1.326689579
NAPSA,0.0000393,0.000000396,10.41588051,7.02907898,3.226260647,3.226260647
DPF1,0.0000396,0.000000403,10.3982593,7.011543833,2.746290666,2.746290666
C8orf44-SGK3,0.00004,0.000000415,-10.36665416,6.980023297,-1.01166126,1.01166126
MAP3K9,0.0000401,0.000000418,10.36047579,6.973850975,1.045603586,1.045603586
PER2,0.0000401,0.00000042,10.35538003,6.968757617,1.071069743,1.071069743
LMNB2,0.0000413,0.000000453,10.27943944,6.892574785,1.084960338,1.084960338
HKDC1,0.0000416,0.000000465,10.25317193,6.866101622,2.025100403,2.025100403
ARHGAP1,0.0000426,0.000000484,10.21377379,6.826276904,1.253081564,1.253081564
TMEM8C,0.0000432,0.000000494,10.19363043,6.805860473,1.297965148,1.297965148
IL36G,0.0000432,0.000000496,10.18978315,6.8019568,1.114741976,1.114741976
EPAS1,0.0000442,0.000000532,10.12003132,6.730945647,1.014039284,1.014039284
SYNGR4,0.0000453,0.000000565,10.06012283,6.669595154,2.680247788,2.680247788
LOC389834,0.0000454,0.000000568,10.05441462,6.663732064,2.150420332,2.150420332
IFIT3,0.0000461,0.000000592,10.01451043,6.622659863,2.221087583,2.221087583
PURB,0.0000462,0.000000598,10.00439171,6.61222118,1.066568392,1.066568392
FSCN1,0.0000462,0.000000601,9.999760832,6.607440659,1.08153273,1.08153273
SNX21,0.0000464,0.000000611,9.984378748,6.591546981,1.719625937,1.719625937
KCNC3,0.0000467,0.000000615,9.976829482,6.583738461,1.801569163,1.801569163
PKD1L3,0.000048,0.000000656,9.914328173,6.518883296,1.631828036,1.631828036
KLF6,0.0000489,0.000000683,9.875820436,6.47874017,1.368539488,1.368539488
LOC283854,0.0000523,0.000000775,9.754200789,6.351019584,1.324959879,1.324959879
NR4A2,0.0000533,0.00000081,9.710849283,6.305146724,1.09809383,1.09809383
IFIT1,0.0000539,0.000000841,9.675824521,6.267950699,2.86748892,2.86748892
FRMD8,0.000054,0.000000845,9.671222905,6.263054872,1.182491176,1.182491176
PRIC285,0.0000541,0.000000865,9.648920538,6.239297061,1.853563738,1.853563738
VSIG1,0.0000544,0.000000882,9.630337358,6.219463705,2.092734481,2.092734481
CDK5R2,0.0000551,0.000000907,9.603938305,6.191229974,3.306828724,3.306828724
GNRH2,0.0000551,0.000000912,9.598310159,6.185201756,1.038166167,1.038166167
CD83,0.0000567,0.000000965,9.545023375,6.127971061,1.340405471,1.340405471
FSD1,0.0000587,0.00000103,9.486177924,6.064440623,1.180662533,1.180662533
