,baseMean,log2FoldChange,absoluteLogFC,lfcSE,stat,pvalue,padj
PTPN6,1709.452255,-0.24079374,0.24079374,0.13910139,3.056001418,0.080439394,0.159729654
CCR7,287.4600806,0.579938881,0.579938881,0.327931396,1.768476239,0.076981321,0.159756935
TLR9,31.48829477,-0.284394249,0.284394249,0.16436883,3.018347628,0.082327309,0.16289674
CCL19,10.19953605,-0.328228834,0.328228834,0.189686118,2.999435983,0.083293509,0.164224081
CXCL2,13.15987006,0.343699896,0.343699896,0.199720043,2.989501114,0.083805984,0.164650625
CXCR1,893.242932,-0.3476028,0.3476028,0.204849405,2.960891236,0.085300911,0.166411602
HLA-B,13669.636,-0.241851354,0.241851354,0.142580345,2.935357027,0.086659502,0.168470919
PRDM1,323.4262189,0.253027084,0.253027084,0.146476175,2.923496579,0.087298506,0.169121845
CFD,156.9339266,-0.284573241,0.284573241,0.169276106,2.884931023,0.089411835,0.172614516
IL7R,2333.28315,0.500490031,0.500490031,0.292825099,1.709177365,0.0874181,0.176975805
UBE2L3,147.3683799,0.23123461,0.23123461,0.13751053,2.782253027,0.095314,0.182739944
FCGR1A/B,103.0177739,0.571281996,0.571281996,0.341155663,1.674549354,0.094022683,0.187076061
ITGA6,285.3303253,0.357555709,0.357555709,0.214240415,1.668946119,0.095128059,0.188627212
IL20,8.295907502,-0.340201861,0.340201861,0.205588911,2.715895405,0.099353206,0.189829494
IL1R1,31.84510406,0.34896685,0.34896685,0.210945303,2.694823184,0.100674657,0.190391528
TGFBI,458.946012,-0.300299483,0.300299483,0.184966823,2.698724451,0.100428565,0.190391528
CEACAM8,184.5228793,1.164494806,1.164494806,0.703168118,1.656068835,0.09770788,0.19247636
TNFRSF9,14.4725948,-0.350685434,0.350685434,0.218145378,2.630452039,0.104831864,0.196913906
PRKCD,656.1328302,0.277382861,0.277382861,0.170363002,2.587650646,0.107699979,0.201620163
LTF,747.9681834,1.140008045,1.140008045,0.706806448,1.612899894,0.106766258,0.207441824
CXCR2,4307.33106,-0.30947975,0.30947975,0.197113026,2.528063099,0.111837421,0.208375861
IL12RB1,108.1944242,0.262479288,0.262479288,0.163674628,2.524951281,0.112058242,0.208375861
GATA3,20.84174385,-0.30528993,0.30528993,0.194974107,2.470892764,0.115972036,0.21493484
CASP8,1143.472712,0.180276182,0.180276182,0.114062659,2.459895745,0.116786533,0.215010969
MME,467.8488018,-0.447386613,0.447386613,0.290091354,2.463305344,0.116533327,0.215010969
CCL22,7.754399071,-0.328900847,0.328900847,0.209534365,2.436258767,0.11855869,0.216126661
IL4,7.76433139,-0.329973388,0.329973388,0.209903848,2.444158815,0.117963107,0.216126661
CD46,1877.737765,-0.236302651,0.236302651,0.153765702,2.407811816,0.12073102,0.219367474
ICAM1,164.3476365,0.276206903,0.276206903,0.176430135,2.398788384,0.121429267,0.219387511
TLR3,31.82512787,0.237780294,0.237780294,0.15331508,2.397475763,0.121531211,0.219387511
CD164,1060.072389,0.212892592,0.212892592,0.138221315,2.328891533,0.126992278,0.228503905
IL1RL1,20.43007236,0.512327893,0.512327893,0.331677646,2.305532256,0.128914115,0.229731563
LTA,52.62619393,-0.281337586,0.281337586,0.186597184,2.308783536,0.128644693,0.229731563
MASP1,9.656691114,-0.294518314,0.294518314,0.196608507,2.278239083,0.131200762,0.233059501
DEFB103A,10.46385729,0.331134781,0.331134781,0.22185777,2.255805434,0.133114181,0.234032956
IL13,8.405571698,-0.305669899,0.305669899,0.20288936,2.256676859,0.133039276,0.234032956
IL22,8.416356971,-0.305980988,0.305980988,0.203257527,2.250106914,0.133605171,0.234032956
ITGAM,910.8631111,0.34860685,0.34860685,0.228706274,2.251271461,0.133504669,0.234032956
MAF,32.18435509,0.257008543,0.257008543,0.170848139,2.247235045,0.133853381,0.234032956
CD45R0,3178.121937,-0.288749716,0.288749716,0.196367912,2.213922145,0.136770555,0.238383789
CARD9,31.23067747,-0.310571855,0.310571855,0.211855642,2.18058871,0.139760992,0.242834723
LAMP3,39.7434809,0.6898237,0.6898237,0.460589757,1.497696573,0.134212103,0.244367319
FCGR2A,3305.70948,-0.3160846,0.3160846,0.217898454,2.159126929,0.141725197,0.245480404
TAP1,269.1025075,0.245228374,0.245228374,0.166329782,2.131162048,0.144331301,0.249218023
TNFSF12,215.5069926,-0.22264801,0.22264801,0.156588463,2.055182412,0.151689087,0.260305965
CYBB,2035.639367,0.129803857,0.129803857,0.090574036,2.031092382,0.154109805,0.263646312
FCAR,9.18085413,-0.284056928,0.284056928,0.199126815,2.019322174,0.155308456,0.264881907
CX3CL1,9.082822071,-0.286337755,0.286337755,0.20252816,2.013503046,0.15590497,0.265086126
CD4,312.0717031,0.346249435,0.346249435,0.242104287,1.983409242,0.15903171,0.269578143
CLEC6A,16.7091609,-0.296225026,0.296225026,0.214287662,1.958222416,0.161703556,0.273274094
C1QBP,509.1008739,0.12945502,0.12945502,0.092283321,1.948875117,0.162708119,0.274138528
IRGM,9.220292411,-0.275189787,0.275189787,0.201555206,1.849967948,0.173787122,0.291914028
PYCARD,127.0257392,0.121937682,0.121937682,0.089830786,1.845494027,0.174308377,0.291914028
CD1D,141.7884879,-0.198243195,0.198243195,0.147306951,1.835417612,0.175488982,0.293008631
TNF,144.3811289,0.192063586,0.192063586,0.141558916,1.815990927,0.17779123,0.295963843
PDGFRB,44.38847725,0.354478569,0.354478569,0.263667314,1.761966957,0.184379364,0.306014706
IL8,103.5519046,-0.448402975,0.448402975,0.344356448,1.754908162,0.185260896,0.306562673
TICAM1,99.14972174,0.220255898,0.220255898,0.165281775,1.750217483,0.185849394,0.306623926
ICOS,85.71212749,-0.230191284,0.230191284,0.176161995,1.733533097,0.187960317,0.30918916
SRC,124.8439897,0.200133472,0.200133472,0.151194447,1.728387572,0.188616951,0.309354055
TLR5,109.3916053,0.413516331,0.413516331,0.311603366,1.700471187,0.192226368,0.314346648
ETS1,3207.409573,-0.265895327,0.265895327,0.209242337,1.650423805,0.198901259,0.323528592
S100A8,17946.39502,0.425108484,0.425108484,0.324519623,1.649661585,0.199004997,0.323528592
CIITA,31.94734411,0.333057211,0.333057211,0.259325913,1.616337448,0.203603235,0.329960553
CXCL13,8.450593982,0.264619171,0.264619171,0.21018243,1.612446389,0.204148256,0.329960553
ITGAX,2200.270003,0.286681819,0.286681819,0.224014156,1.59592975,0.20648098,0.330845604
LILRB4,144.0741229,0.292717833,0.292717833,0.22886872,1.596926053,0.206339378,0.330845604
TAL1,157.5435569,-0.41740722,0.41740722,0.335596847,1.597938469,0.206195605,0.330845604
FADD,24.92001697,0.220081232,0.220081232,0.176568983,1.547388751,0.213521346,0.338365657
IL2RA,44.97614693,0.295805153,0.295805153,0.235490702,1.54679956,0.213608535,0.338365657
LAIR1,426.7970955,0.222214283,0.222214283,0.176939975,1.547319343,0.213531615,0.338365657
TNFRSF1B,886.8949846,-0.159452465,0.159452465,0.128658579,1.556028502,0.212247673,0.338365657
TNFSF4,154.0286323,0.317709168,0.317709168,0.252487061,1.54090486,0.214483169,0.338785914
IL21,8.020331218,-0.255281438,0.255281438,0.206894507,1.510623061,0.219044037,0.34488084
ITLN1,25.89124853,-0.545291212,0.545291212,0.452835149,1.505245726,0.219865982,0.34488084
PDGFB,8.043189548,-0.254967791,0.254967791,0.207520309,1.503049811,0.220202694,0.34488084
LILRB5,8.024635355,-0.252191045,0.252191045,0.206831755,1.477403295,0.224181243,0.350125762
CFI,9.405496035,-0.244164861,0.244164861,0.201237903,1.46557379,0.226045351,0.352048221
S1PR1,119.2179124,-0.216876564,0.216876564,0.181769077,1.445123608,0.229312025,0.356138229
C3,12.50253462,0.22750374,0.22750374,0.192214088,1.411998812,0.234724862,0.36251951
TNFAIP3,260.8998987,0.182084131,0.182084131,0.152131771,1.412067303,0.234713512,0.36251951
KLRG1,339.5066267,0.260044609,0.260044609,0.217922931,1.392086174,0.238053111,0.366641356
CCL13,8.69781336,-0.236143601,0.236143601,0.20021468,1.380428613,0.240028152,0.36791286
POU2F2,217.5526998,-0.202508548,0.202508548,0.173740585,1.37940748,0.240202101,0.36791286
HFE,18.85023891,-0.215678611,0.215678611,0.184361777,1.375500233,0.240869111,0.36792095
C1QA,21.31841432,0.204618028,0.204618028,0.178336472,1.317296013,0.251077909,0.382216972
IRAK2,78.92460677,0.214639781,0.214639781,0.18604904,1.314379459,0.251603259,0.382216972
CCRL1,8.755132587,-0.232163851,0.232163851,0.202682304,1.302752503,0.253711059,0.383394339
RELA,143.661727,-0.150112841,0.150112841,0.132194698,1.302498191,0.253757404,0.383394339
LITAF,2252.324412,0.149288667,0.149288667,0.130976464,1.282353913,0.257461823,0.387937056
RAG1,12.74371127,-0.209948691,0.209948691,0.187805679,1.27801035,0.258269305,0.388101983
RAF1,733.564336,0.202258047,0.202258047,0.177797846,1.271495476,0.259486317,0.388879764
ADA,116.8024563,0.167755698,0.167755698,0.148175153,1.267354522,0.260263557,0.388996069
IL1A,8.27922915,0.232002857,0.232002857,0.210588209,1.241558174,0.265170967,0.395268251
CCL18,9.338146299,-0.226533054,0.226533054,0.205519656,1.23106465,0.267200089,0.397227939
CD53,3561.679887,-0.151118542,0.151118542,0.138646808,1.203103057,0.272702358,0.404326696
C1S,8.05349592,-0.226003639,0.226003639,0.207492245,1.180648717,0.277223969,0.409937571
TAPBP,1231.600608,0.149577124,0.149577124,0.137380656,1.170267402,0.279346304,0.411980225
GZMK,407.3841594,-0.336199993,0.336199993,0.32106081,1.126559263,0.288510446,0.424369862
TIGIT,182.4866333,-0.238352406,0.238352406,0.227178554,1.121088398,0.289684214,0.424972093
CCR2,609.2140562,-0.196528169,0.196528169,0.191297427,1.07263173,0.300351756,0.439462043
CXCR6,69.74282017,0.273430505,0.273430505,0.262871643,1.059013762,0.303440231,0.440210346
IFNA1/13,9.125752087,0.231132936,0.231132936,0.226572127,1.054998954,0.304358585,0.440210346
IL2RB,418.4988713,0.188014297,0.188014297,0.181207516,1.059340678,0.303365609,0.440210346
LEF1,623.7090248,0.345282044,0.345282044,0.331071992,1.054042744,0.30457784,0.440210346
SOCS3,134.8543285,0.354143156,0.354143156,0.339888355,1.05297935,0.304821912,0.440210346
S100A9,34512.35037,0.348849625,0.348849625,0.335391457,1.047791911,0.306016178,0.440790143
HAMP,8.155603034,-0.21660287,0.21660287,0.211843155,1.04253546,0.307232523,0.441398664
CTSC,1159.143697,-0.146999931,0.146999931,0.146318154,1.021583701,0.312143645,0.447298625
CCL2,13.09552482,0.342227286,0.342227286,0.345410766,0.97096208,0.324440356,0.463724519
DUSP4,14.86333557,-0.198199907,0.198199907,0.203760848,0.96044707,0.327074264,0.46629049
TYK2,447.1973076,-0.141683613,0.141683613,0.147252126,0.936229169,0.333249493,0.473879075
C8B,7.530060436,-0.204586565,0.204586565,0.212366156,0.926063174,0.335888001,0.474207772
CD80,15.13823746,-0.174858083,0.174858083,0.181329552,0.930370338,0.334766711,0.474207772
FN1,9.452288561,-0.191081019,0.191081019,0.201227871,0.92548339,0.33603932,0.474207772
HLA-DRB1,183.8742247,-0.588955199,0.588955199,0.63346065,0.904115123,0.341680687,0.480948005
IKBKAP,110.0022319,-0.180686276,0.180686276,0.191744986,0.899506158,0.342914163,0.48146534
CCR8,11.03280482,-0.198288685,0.198288685,0.214352679,0.871683756,0.350489595,0.490862002
IL5,7.51499825,-0.203102664,0.203102664,0.211956918,-0.958226162,0.337948728,0.495372945
PIGR,7.51499825,-0.203102664,0.203102664,0.211956918,-0.958226162,0.337948728,0.495372945
CTLA4_all,55.86230076,0.196663066,0.196663066,0.214007446,0.833722019,0.361198472,0.503286708
IL17F,8.190339654,-0.188480818,0.188480818,0.205884008,0.834273388,0.361039738,0.503286708
TCF4,93.98045422,-0.167692769,0.167692769,0.18504163,0.830677249,0.362076769,0.503286708
ZEB1,61.54873437,-0.149435828,0.149435828,0.16588056,0.819135774,0.365432966,0.506685111
IGF2R,567.135768,0.164153183,0.164153183,0.18286432,0.794595177,0.372714251,0.514811979
LILRB3,637.6139067,0.220175803,0.220175803,0.245195864,0.79088205,0.373833546,0.514811979
SELL,4088.33403,0.138798044,0.138798044,0.155199376,0.790092974,0.374072014,0.514811979
KIR_Inhibiting_Subgroup_2,64.31248209,-0.280528624,0.280528624,0.320098552,0.784256943,0.375842369,0.515971252
DPP4,86.62803339,-0.212198774,0.212198774,0.242644506,0.77664739,0.378168452,0.517885861
PTPN22,249.6980924,0.089642165,0.089642165,0.101681096,0.773466196,0.379146888,0.517950049
HLA-DMA,351.5308291,-0.1809684,0.1809684,0.209608604,0.756264877,0.384499954,0.523975427
CCL23,9.05328112,0.190628934,0.190628934,0.222978238,0.742689428,0.388800718,0.528323412
TNFRSF17,128.4980178,0.410097178,0.410097178,0.467942246,0.740218152,0.389591005,0.528323412
PTPRC_all,8080.980042,0.114700246,0.114700246,0.133189782,0.734186391,0.391529573,0.529660444
TAGAP,1813.594873,-0.111705658,0.111705658,0.13157272,0.727554728,0.393676946,0.531272772
CD3D,782.1823223,0.177065367,0.177065367,0.207437663,0.717411933,0.396994156,0.534452181
PDCD2,57.68995159,0.13997376,0.13997376,0.166607121,0.702561951,0.401924178,0.53978223
NCAM1,88.07143486,0.179187778,0.179187778,0.213702674,0.69353824,0.404963495,0.542553502
PECAM1,2190.017043,-0.096257838,0.096257838,0.116960338,0.682761554,0.408637412,0.544849883
TGFBR2,870.0248116,0.145481672,0.145481672,0.174862878,0.683478465,0.408391495,0.544849883
CLEC4E,1009.495205,0.222607954,0.222607954,0.27001168,0.666384849,0.41431486,0.549782964
KIR_Inhibiting_Subgroup_1,70.0117017,0.221663832,0.221663832,0.268663255,0.668823867,0.413461961,0.549782964
TNFSF15,27.46881997,0.177895719,0.177895719,0.218999305,0.661515843,0.416025303,0.550738259
C14orf166,555.5193644,0.12121766,0.12121766,0.149358914,0.651985237,0.419403799,0.552579412
IL10,9.644860981,-0.162564865,0.162564865,0.201734498,0.654089793,0.418654256,0.552579412
SYK,713.0829924,0.135803391,0.135803391,0.169027269,0.638054462,0.424416184,0.557861462
CXCR3,167.1896026,0.162706077,0.162706077,0.202917461,0.634541552,0.42569432,0.558221797
TNFRSF13B,24.41208572,0.165891528,0.165891528,0.209153544,0.630885769,0.427030594,0.558656495
IL22RA2,7.675526044,-0.166381841,0.166381841,0.211414872,0.627347048,0.428330107,0.559041173
LTBR,231.9767709,0.161691494,0.161691494,0.205633016,0.610441663,0.434621565,0.565924098
KLRG2,15.06675647,0.152226632,0.152226632,0.205134544,0.583105193,0.445097752,0.578211098
C5,23.82986765,-0.131330249,0.131330249,0.176290519,0.557648347,0.455209314,0.58859623
SMAD3,241.0917884,0.12553477,0.12553477,0.167003635,0.559535353,0.454447516,0.58859623
C1R,8.080765414,0.145466072,0.145466072,0.211831926,0.501766253,0.478725072,0.616136899
TNFSF8,119.6365684,0.110203599,0.110203599,0.154908374,0.502250587,0.478512899,0.616136899
APP,452.2211251,-0.118146475,0.118146475,0.168023997,0.499124181,0.479885203,0.616203632
TNFRSF11A,16.13834829,-0.127173309,0.127173309,0.182130075,0.488950704,0.484395745,0.620562291
NFKB1,150.5964888,0.098984054,0.098984054,0.141827197,0.483871289,0.486673995,0.622047681
KCNJ2,240.2670118,-0.18299306,0.18299306,0.266319516,0.479502424,0.488647785,0.623138001
CAMP,218.6147802,-0.355457639,0.355457639,0.530840196,0.461327806,0.497004074,0.632343857
TCF7,782.9991515,-0.195780279,0.195780279,0.293436523,0.452410455,0.501192485,0.636216944
C8A,7.913280724,0.137823633,0.137823633,0.211735754,0.435875441,0.509119952,0.644807958
CLU,11.08374032,-0.129586565,0.129586565,0.207376103,0.429135173,0.512413611,0.647504472
C6,15.41660146,-0.110706905,0.110706905,0.180473544,0.407596067,0.523192175,0.659625509
XCR1,8.725482163,0.130531242,0.130531242,0.208552805,0.394402181,0.529994458,0.666689861
MBL2,8.721917316,0.130818826,0.130818826,0.216112042,0.368496068,0.543825183,0.682543571
ARHGDIB,3636.425577,-0.106396599,0.106396599,0.177421673,0.362861559,0.546921278,0.684883403
CCL3,51.76062166,0.159078113,0.159078113,0.26447218,0.357502188,0.54989674,0.685521496
CD244,230.7530932,-0.073244118,0.073244118,0.122737389,0.358061812,0.549584631,0.685521496
IL12A,16.10866247,-0.114924881,0.114924881,0.204168027,0.336772822,0.56169796,0.697937035
KLRC3,237.1958797,0.189998631,0.189998631,0.325234739,0.335623241,0.562366531,0.697937035
MAPK1,1834.067345,-0.087567835,0.087567835,0.154988774,0.321588569,0.570654534,0.706645703
CXCL12,24.6147124,-0.174770586,0.174770586,0.315971406,0.315188426,0.574513675,0.709843563
NOTCH1,275.9858926,0.097533778,0.097533778,0.176245825,0.303883289,0.581458127,0.716830862
MALT1,459.5151816,-0.08368654,0.08368654,0.158927144,0.279154759,0.597255753,0.734677431
IL10RA,988.2110741,0.069042712,0.069042712,0.131038552,0.276002465,0.599333394,0.735605667
TNFSF11,12.12688018,-0.10227242,0.10227242,0.19726161,0.269471132,0.603686762,0.739316828
C7,7.853026897,0.107683007,0.107683007,0.210942072,0.262324642,0.608527574,0.742884575
CHUK,246.1449569,0.062850155,0.062850155,0.122707396,0.261236049,0.609272242,0.742884575
NFKB2,249.9982109,0.095514235,0.095514235,0.190438173,0.249785958,0.617225831,0.750935585
CCL4,199.9832396,0.089807304,0.089807304,0.181531611,0.243246497,0.621871094,0.75349794
NOD2,341.024217,-0.098264664,0.098264664,0.200201463,0.243007451,0.622042364,0.75349794
BTLA,254.2518379,-0.07047423,0.07047423,0.146788907,0.231793826,0.630196912,0.761716267
ICAM5,7.90096181,-0.095424324,0.095424324,0.207840731,0.216065476,0.642054322,0.774364865
PSMB10,489.0711791,0.047936803,0.047936803,0.104503807,0.209666736,0.647028738,0.77447779
SLAMF1,56.55328799,0.10448663,0.10448663,0.228179147,0.208787092,0.647719734,0.77447779
TGFBR1,244.837103,0.049845004,0.049845004,0.1081481,0.211984796,0.645216169,0.77447779
TOLLIP,292.8964829,0.057969202,0.057969202,0.126432045,0.209447271,0.647200973,0.77447779
CXCL9,10.16313641,0.104792586,0.104792586,0.234579804,0.201437729,0.653562847,0.776455006
JAK3,461.1827695,-0.074319384,0.074319384,0.165712787,0.202474234,0.652731084,0.776455006
KIR3DL1,19.45291301,-0.147529796,0.147529796,0.329985489,0.201857913,0.653225353,0.776455006
BCL3,200.1233738,0.104718431,0.104718431,0.236549304,0.194499601,0.65919773,0.779816889
LILRA5,771.0271849,-0.106174639,0.106174639,0.241702232,0.194733962,0.659005445,0.779816889
AHR,448.795729,0.081996902,0.081996902,0.190523312,0.183932394,0.668015358,0.787888742
ITGA2B,656.2481624,0.188292179,0.188292179,0.436639121,0.182869746,0.668918538,0.787888742
ITGAE,61.25652209,0.048080454,0.048080454,0.114476177,0.181283823,0.670272257,0.787888742
CD8B,80.39875625,-0.097950206,0.097950206,0.23522517,0.1747772,0.675900595,0.790329757
LILRA1,219.9915896,-0.066211433,0.066211433,0.159146254,0.173963309,0.676613245,0.790329757
SH2D1A,322.0055142,0.075904029,0.075904029,0.181038869,0.174684487,0.675981677,0.790329757
PLAUR,111.179438,0.073458839,0.073458839,0.178139188,0.169171732,0.680848967,0.793610117
CD58,473.0624648,0.082367386,0.082367386,0.203359137,0.162974763,0.686432362,0.798444337
IKZF2,102.5848054,-0.103857962,0.103857962,0.260553862,0.160272973,0.688905322,0.799647931
CD160,79.55444669,-0.097379741,0.097379741,0.246348501,0.157423272,0.691540013,0.801033849
IL1B,170.5969293,-0.096184919,0.096184919,0.251013836,0.148229686,0.700232907,0.808384508
TNFRSF8,73.85974845,0.058073332,0.058073332,0.150881608,0.147647439,0.700793764,0.808384508
ARG1,69.48224561,0.163878906,0.163878906,0.454573724,0.128189611,0.720316546,0.825935396
HAVCR2,104.7498931,0.067861329,0.067861329,0.187302437,0.130791956,0.717612321,0.825935396
IL1R2,201.8533637,0.108226041,0.108226041,0.302806399,0.126631293,0.721950724,0.825935396
PDCD1LG2,21.21121747,-0.089609322,0.089609322,0.264012119,0.126954818,0.721610521,0.825935396
FCER1G,1102.138544,-0.070313939,0.070313939,0.204288231,0.119191602,0.729912922,0.828857195
IL27,7.720504371,0.073805765,0.073805765,0.212282613,0.121445739,0.727471728,0.828857195
KIR3DL2,33.1583162,-0.081473184,0.081473184,0.237173063,0.118682655,0.730467672,0.828857195
TNFAIP6,61.02180057,0.167854021,0.167854021,0.479880685,0.12087293,0.728089649,0.828857195
IRF3,49.32162949,0.065415126,0.065415126,0.194844059,0.112718796,0.737069805,0.834645238
TRAF1,92.65966616,-0.074335467,0.074335467,0.224260282,0.110729903,0.739314677,0.835485692
DEFB4A,9.210814611,0.064305511,0.064305511,0.20090924,0.102908012,0.748367427,0.843782681
LILRA4,23.14867175,-0.051058236,0.051058236,0.168899994,0.101186604,0.750410283,0.843782681
PLAU,10.95666376,-0.063681038,0.063681038,0.210808962,0.100517578,0.751209402,0.843782681
KLRC4,150.0018228,-0.086863194,0.086863194,0.291257668,0.089567374,0.764727872,0.857235276
CCL16,7.290659616,-0.066825988,0.066825988,0.215452024,-0.310166443,0.756434387,0.868999028
CCL7,7.290659616,-0.066825988,0.066825988,0.215452024,-0.310166443,0.756434387,0.868999028
CDH5,7.290659616,-0.066825988,0.066825988,0.215452024,-0.310166443,0.756434387,0.868999028
CSF2,7.290659616,-0.066825988,0.066825988,0.215452024,-0.310166443,0.756434387,0.868999028
EDNRB,7.290659616,-0.066825988,0.066825988,0.215452024,-0.310166443,0.756434387,0.868999028
IL19,7.290659616,-0.066825988,0.066825988,0.215452024,-0.310166443,0.756434387,0.868999028
IL9,7.290659616,-0.066825988,0.066825988,0.215452024,-0.310166443,0.756434387,0.868999028
ITLN2,7.290659616,-0.066825988,0.066825988,0.215452024,-0.310166443,0.756434387,0.868999028
THY1,7.290659616,-0.066825988,0.066825988,0.215452024,-0.310166443,0.756434387,0.868999028
TLR8,535.1214052,0.044973568,0.044973568,0.161023077,0.077750237,0.780369691,0.873009152
CD3EAP,11.77179603,-0.051925315,0.051925315,0.214387586,0.072579032,0.78761807,0.877788114
PTPN2,133.0456521,0.027401743,0.027401743,0.105051869,0.072452363,0.787799045,0.877788114
CD40LG,184.2949927,-0.067976478,0.067976478,0.262305101,0.067568821,0.794910029,0.882175602
MARCO,53.57368339,-0.061772763,0.061772763,0.238421762,0.067784616,0.794590114,0.882175602
CD45RA,644.032406,0.065891161,0.065891161,0.257095076,0.065309191,0.798293211,0.882723271
CFB,11.03387128,0.005278772,0.005278772,0.206584593,0.060995539,0.804929314,0.882723271
HLA-DRB3,1675.197676,-0.05284096,0.05284096,0.213307587,0.061642777,0.803918056,0.882723271
IL11RA,29.09315882,0.040003336,0.040003336,0.181247755,0.063954681,0.800351186,0.882723271
ILF3,532.8182768,0.02629878,0.02629878,0.10344225,0.06485967,0.798973651,0.882723271
PPARG,10.10747896,-0.040743623,0.040743623,0.225770699,0.062793863,0.802133405,0.882723271
NCR1,152.3090272,-0.047003873,0.047003873,0.195559666,0.057986331,0.809707409,0.884474105
SIGIRR,266.4091384,0.02518229,0.02518229,0.104971908,0.058786001,0.808425107,0.884474105
IL16,1066.293176,0.02409577,0.02409577,0.104521823,0.053126329,0.817709872,0.890182365
NFATC3,684.2333729,0.047154443,0.047154443,0.204666099,0.052874275,0.818135231,0.890182365
CISH,84.93347106,0.035775396,0.035775396,0.166276195,0.046715039,0.828881255,0.900113237
CD276,11.70837686,-0.013596625,0.013596625,0.199805841,0.044602663,0.83273634,0.901897492
IRAK3,97.71973264,0.049127848,0.049127848,0.236975617,0.043270072,0.835217572,0.901897492
LIF,7.64764777,0.041956234,0.041956234,0.215104295,0.043177897,0.835390663,0.901897492
PML,278.8032778,-0.044393611,0.044393611,0.219501883,0.041157284,0.839234627,0.904291574
MRC1,10.74317915,0.039242949,0.039242949,0.230502206,0.038056751,0.845329226,0.909096808
IKBKG,236.2979769,-0.02408524,0.02408524,0.128426067,0.035292997,0.850983025,0.911192763
IL17A,7.579824146,0.038210448,0.038210448,0.213218763,0.033175219,0.855472342,0.911192763
IL17B,7.579824146,0.038210448,0.038210448,0.213218763,0.033175219,0.855472342,0.911192763
PLA2G2A,7.579824146,0.038210448,0.038210448,0.213218763,0.033175219,0.855472342,0.911192763
TNFSF13B,835.9726409,-0.053796945,0.053796945,0.295552488,0.033292288,0.855220375,0.911192763
CLEC4A,463.2582174,0.043548404,0.043548404,0.25264075,0.029634825,0.863321427,0.916262093
CTLA4-TM,42.57169661,0.03474872,0.03474872,0.202127436,0.029544609,0.863527584,0.916262093
CCL20,9.049022352,0.031980952,0.031980952,0.201981838,0.028617266,0.86566577,0.916781273
MUC1,9.075281323,0.033273609,0.033273609,0.202898251,0.027512836,0.868259306,0.917779799
B2M,59694.79108,-0.051493295,0.051493295,0.316879704,0.026524746,0.870625363,0.918534539
ENTPD1,141.4325407,-0.032182314,0.032182314,0.211683754,0.023273493,0.878748011,0.923599044
FCGR2A/C,3872.1739,0.026804406,0.026804406,0.175041482,0.023395893,0.878432059,0.923599044
CCL26,7.563862367,0.007771235,0.007771235,0.213361889,0.021649232,0.88302406,0.923696649
CD5,434.7556029,0.025594273,0.025594273,0.175743686,0.021174409,0.884304832,0.923696649
IL32,7856.410195,0.056600068,0.056600068,0.392026901,0.020741213,0.885486176,0.923696649
SLC2A1,59.30925252,-0.019431496,0.019431496,0.13830822,0.022074944,0.881887903,0.923696649
ATG12,20.65048455,-0.009259388,0.009259388,0.168087707,0.018290123,0.892421348,0.925720652
ATM,22.72922586,0.023356574,0.023356574,0.202645692,0.018486086,0.891850099,0.925720652
C8G,10.57317969,0.029428959,0.029428959,0.214812655,0.018866984,0.890748506,0.925720652
CCL24,8.816253646,-0.02522746,0.02522746,0.201696115,0.017260854,0.89547426,0.927157707
IFNGR1,1793.317189,-0.023325628,0.023325628,0.189127772,0.015245203,0.901733768,0.931903299
C9,7.387047793,-0.030978321,0.030978321,0.213597107,-0.145031558,0.884685955,0.936474176
CCR10,7.442565536,-0.028486862,0.028486862,0.214653059,-0.132711187,0.894421795,0.936474176
CD34,7.41839676,-0.029378085,0.029378085,0.214264374,-0.137111385,0.890942754,0.936474176
IFNB1,7.387047793,-0.030978321,0.030978321,0.213597107,-0.145031558,0.884685955,0.936474176
IL2,7.41839676,-0.029378085,0.029378085,0.214264374,-0.137111385,0.890942754,0.936474176
IL29,7.41839676,-0.029378085,0.029378085,0.214264374,-0.137111385,0.890942754,0.936474176
IL3,7.424052166,-0.029148576,0.029148576,0.214363184,-0.135977527,0.891839047,0.936474176
KIR3DL3,7.387047793,-0.030978321,0.030978321,0.213597107,-0.145031558,0.884685955,0.936474176
KLRF2,7.41839676,-0.029378085,0.029378085,0.214264374,-0.137111385,0.890942754,0.936474176
RAG2,7.436125223,-0.028703111,0.028703111,0.214556824,-0.133778597,0.893577652,0.936474176
sCTLA4,7.387047793,-0.030978321,0.030978321,0.213597107,-0.145031558,0.884685955,0.936474176
DEFB103B,8.885342176,-0.001888424,0.001888424,0.203096913,0.01294716,0.909407765,0.938090385
TRAF5,120.7183366,0.0174118,0.0174118,0.171234446,0.011846451,0.913328284,0.940389863
KLRF1,352.3340593,-0.029557698,0.029557698,0.297556954,0.009898072,0.920749978,0.94627909
NCF4,710.2067869,-0.018955485,0.018955485,0.19669338,0.009315271,0.923111043,0.94695524
TAP2,309.7814607,0.01374,0.01374,0.152617827,0.00827348,0.927525429,0.949731379
ITGA4,457.7126866,0.01662234,0.01662234,0.187977114,0.007862519,0.929343504,0.949843728
CRADD,41.34849852,-0.008654855,0.008654855,0.161553936,0.006861314,0.933984292,0.952635673
CSF1,47.2556427,-0.015433749,0.015433749,0.220301805,0.006548787,0.935501938,0.952635673
