,baseMean,log2FoldChange,absoluteLogFC,lfcSE,stat,pvalue,padj
IFI35,223.0714473,0.867460067,0.867460067,0.267453541,3.243404684,0.001181103,0.005651725
LILRA6,196.2740107,0.859273024,0.859273024,0.249701592,3.441199622,0.000579141,0.003076355
IFNG,16.53602652,-0.853594509,0.853594509,0.202260561,18.23919908,1.94828E-05,0.000171943
CSF2RB,1588.222163,-0.852830582,0.852830582,0.230875386,14.50730597,0.000139617,0.000872214
JAK2,739.0844867,0.844202681,0.844202681,0.133869418,6.306165307,2.86034E-10,6.62454E-09
CD274,68.62089227,0.841046869,0.841046869,0.318101488,2.643957671,0.00819429,0.027908789
CTNNB1,955.0225914,0.839897237,0.839897237,0.125566351,6.688871908,2.24897E-11,7.2342E-10
CD82,140.9103861,-0.839331791,0.839331791,0.211946859,16.60064973,4.61352E-05,0.00036954
IL2RG,2945.734105,0.837591723,0.837591723,0.126388224,6.627134213,3.42266E-11,9.43677E-10
CASP10,19.46795722,0.83374808,0.83374808,0.314295378,2.652753227,0.007983822,0.027420643
TP53,366.4772523,0.82857524,0.82857524,0.163171254,5.077948607,3.81532E-07,4.70015E-06
CD48,1338.568393,-0.825923692,0.825923692,0.277349919,9.414774283,0.002152441,0.008679863
XCL1,14.78079447,-0.801702713,0.801702713,0.188777026,18.25025268,1.937E-05,0.000171943
MAPK14,1146.596616,0.79752164,0.79752164,0.240590527,3.314850546,0.000916921,0.004537585
IL1RL2,9.012537111,-0.795514399,0.795514399,0.191485727,-4.154431824,3.26097E-05,0.000262236
GPR183,322.0631237,-0.791756743,0.791756743,0.244475649,11.09973022,0.000863403,0.004210982
SOCS1,94.09097636,0.790952672,0.790952672,0.235948161,3.352230714,0.000801632,0.004036042
FCGR2B,143.7191654,-0.790826898,0.790826898,0.186040012,19.04224946,1.27856E-05,0.000126943
CD45RB,680.3306306,-0.784732102,0.784732102,0.081942517,96.54071393,8.74274E-23,1.21524E-20
CD79B,238.0107592,-0.784691055,0.784691055,0.196169547,16.8955787,3.94935E-05,0.000337821
CD40,85.22958143,-0.784209353,0.784209353,0.09904221,64.32072216,1.05728E-15,5.87847E-14
NT5E,64.00362466,-0.783049813,0.783049813,0.206888824,15.00507406,0.000107222,0.000709711
TBX21,785.5187867,0.780845405,0.780845405,0.174633729,4.471332127,7.77339E-06,8.03713E-05
DEFB1,10.07237736,-0.778875842,0.778875842,0.19535403,-3.986996548,6.6915E-05,0.000472485
JAK1,709.478226,0.769258913,0.769258913,0.18623554,4.130569891,3.61865E-05,0.000283135
MBP,684.6127104,-0.768893351,0.768893351,0.107922589,53.51791172,2.56246E-13,1.09594E-11
FCGRT,1301.134427,-0.766725341,0.766725341,0.141627487,30.97863124,2.60885E-08,3.72819E-07
TRAF4,38.673339,-0.761733525,0.761733525,0.133700425,33.08537003,8.81999E-09,1.40112E-07
PSMB9,2251.347906,0.76127735,0.76127735,0.162999322,4.670432626,3.00566E-06,3.28354E-05
IL12B,9.145612774,-0.759671016,0.759671016,0.196811073,-3.859899766,0.000113434,0.000772683
XBP1,384.7053983,0.750260728,0.750260728,0.142258591,5.273922125,1.33539E-07,1.75725E-06
LTB4R,192.008177,0.747999793,0.747999793,0.210330289,3.556310399,0.0003761,0.002244966
IFNAR1,172.3814895,-0.747976612,0.747976612,0.128465361,35.50963887,2.53792E-09,4.40963E-08
IDO1,51.86817595,-0.746527933,0.746527933,0.239417331,10.19588103,0.001407547,0.00621108
GFI1,209.1073297,0.738133564,0.738133564,0.20825512,3.544371756,0.00039355,0.002301671
IL13RA1,695.0309266,-0.728830865,0.728830865,0.149663573,24.99701952,5.7419E-07,6.79255E-06
CD247,829.2359605,0.726413817,0.726413817,0.163080638,4.45432287,8.41584E-06,8.54872E-05
CD36,1247.185571,0.725249559,0.725249559,0.191244378,3.792266041,0.000149279,0.001005029
HLA-DOB,139.9211709,-0.722031495,0.722031495,0.299747598,6.107370184,0.013461929,0.040900724
CD55,18.59848495,-0.717245833,0.717245833,0.179892595,16.10585713,5.98985E-05,0.00046255
TNFRSF10C,2802.547451,-0.708917845,0.708917845,0.226581887,10.32074914,0.001315429,0.005946166
TLR7,46.90312618,0.705575492,0.705575492,0.219213836,3.218663125,0.001287897,0.006013648
PLA2G2E,9.927239142,-0.70165058,0.70165058,0.185299875,-3.786568015,0.000152742,0.001011665
CLEC7A,808.2447649,0.686078295,0.686078295,0.194537362,3.526717371,0.000420746,0.002411997
ATG5,201.2030188,0.662002265,0.662002265,0.157259573,4.209615057,2.55806E-05,0.000211588
CSF3R,2858.483848,-0.659546109,0.659546109,0.170830415,15.66496009,7.56121E-05,0.000538978
CD1A,10.71289939,-0.653100646,0.653100646,0.179867315,-3.631013488,0.00028231,0.001720608
STAT2,791.6552737,0.647827922,0.647827922,0.225821799,2.868757248,0.004120879,0.015697297
HLA-DMB,430.6360218,-0.646924683,0.646924683,0.192376275,11.85792722,0.000574164,0.003098263
TLR2,1251.375739,0.645682127,0.645682127,0.228915878,2.820608746,0.004793262,0.017905154
TIRAP,45.02920555,-0.62863684,0.62863684,0.112060244,31.87066789,1.64787E-08,2.47626E-07
HLA-C,3201.871808,-0.620850127,0.620850127,0.183428097,12.00980023,0.000529215,0.002942437
GZMB,1703.412573,0.617743167,0.617743167,0.211366668,2.922613924,0.003471066,0.01367175
B3GAT1,24.96077936,-0.616818707,0.616818707,0.210117116,8.849815444,0.002931185,0.011317632
NFKBIA,1564.346486,0.6084888,0.6084888,0.213940439,2.844197212,0.004452348,0.016849082
BCL2,183.0295085,-0.602707789,0.602707789,0.180869233,11.57760527,0.000667508,0.003373952
ICAM4,16.1297876,-0.596906535,0.596906535,0.198051794,9.175521163,0.002452735,0.009671778
EOMES,46.02657627,-0.594979804,0.594979804,0.157314365,14.66001918,0.000128748,0.000822806
PSMB5,177.1365753,0.591275585,0.591275585,0.16914907,3.495588746,0.000473017,0.002603007
IL15,47.83589456,0.585096588,0.585096588,0.195345288,2.995191718,0.002742724,0.011105155
CD3E,1102.645495,-0.583674757,0.583674757,0.179453428,11.05760784,0.00088324,0.004270275
CD163,223.6291704,0.583213356,0.583213356,0.221766658,2.629851398,0.00854222,0.028755496
STAT3,1282.25114,0.582441888,0.582441888,0.144393815,4.033703841,5.49045E-05,0.000412853
KLRD1,834.6938246,0.580002744,0.580002744,0.215905404,2.686374375,0.00722321,0.025346902
