"GENE_SYMBOL","baseMean","log2FoldChange","abs.log2FC.","lfcSE","stat","pvalue","padj","Log_FoldChange","absLogFC","logCPM","PValue","FDR_adjusted_P.value"
"S100A12",53.04467463,1.225821904,1.225821904,0.325779902,14.28821772,0.000156844,0.007421113,0.731,0.731,1.154,0.011378147,0.022048627
"S100A8",1707.558374,1.871403901,1.871403901,0.121591018,-15.39097154,1.88185e-53,3.85843e-50,0.594,0.594,8.207,0.023825773,0.042067003
"S100A9",12315.21804,1.109535203,1.109535203,0.088396436,-12.55180918,3.8853e-36,2.65539e-33,0.105,0.105,9.676,0.585163664,0.659626861
"SAA1",3317.372752,2.223957417,2.223957417,0.138607282,-16.04502586,6.19331e-58,1.90475e-54,0.193,0.193,4.753,0.192392083,0.260124937
"SAA2",576.0236324,2.424541694,2.424541694,0.128532569,-18.86324782,2.28728e-79,9.37939e-76,0.421,0.421,3.087,0.01412439,0.026618818
"SERPINA3",2126.88061,1.469928845,1.469928845,0.146086561,-10.06204014,8.12959e-24,3.03061e-21,-0.101,0.101,1.04,0.884459793,0.918354287
"SLC6A14",1660.166997,1.220136019,1.220136019,0.108430345,-11.25271728,2.24565e-29,1.10504e-26,-1.057,1.057,3.461,0.000182164,0.000586271
"SOCS3",189.9443035,1.039536266,1.039536266,0.185646879,-5.599535374,2.14927e-08,2.64403e-06,0.991,0.991,4.216,7.82627e-11,9.47983e-10
"SOD2",2001.882444,1.521586969,1.521586969,0.117493346,-12.95040968,2.33704e-38,1.79689e-35,0.381,0.381,6.344,0.044644413,0.07316167
"SPRR2A",506.6641902,1.689861909,1.689861909,0.155894407,-10.83978532,2.22994e-27,9.79739e-25,0.48,0.48,4.192,0.025577396,0.04483814
"SPRR2D",365.3761159,2.981176529,2.981176529,0.197298091,-15.11001204,1.39114e-51,2.13923e-48,0.439,0.439,2.583,0.057404058,0.090920868
"SPRR2E",47.14769756,3.599939767,3.599939767,0.437272219,77.22442208,1.52595e-18,4.17161e-16,0.119,0.119,1.191,0.662880868,0.731112476
"STAT5A",62.55602145,1.121962444,1.121962444,0.299530245,-3.745740086,0.000179863,0.008287159,-0.097,0.097,2.394,0.69719467,0.761471453
"STON1",30.61021002,-1.506072592,1.506072592,0.404171375,3.726321764,0.000194294,0.008885536,0.863,0.863,0.448,0.0097158,0.019215278
"TLR2",119.5987818,1.052569651,1.052569651,0.25864764,-4.069511909,4.71117e-05,0.002646432,-0.377,0.377,1.955,0.117805057,0.17078868
"TNF",35.12527681,1.809097787,1.809097787,0.391529108,21.81282908,3.00584e-06,0.000229676,3.294,3.294,-1.741,1.27528e-15,3.12693e-14
"TNFAIP2",736.2916768,1.551551269,1.551551269,0.145378445,-10.67249871,1.36895e-26,5.80717e-24,0.551,0.551,2.836,0.005036641,0.010839425
"TNFAIP3",2289.431468,1.613686484,1.613686484,0.10570508,-15.26593123,1.28973e-52,2.26661e-49,2.064,2.064,5.522,4.25163e-41,2.00633e-38
"TNFSF14",33.04432667,1.994627993,1.994627993,0.41285483,23.67860114,1.13841e-06,9.93246e-05,4.328,4.328,-1.146,1.16798e-20,5.52422e-19
"TNIP1",4660.215402,1.266138159,1.266138159,0.089216252,-14.19178825,1.02998e-45,9.74681e-43,-0.325,0.325,7.868,0.186188152,0.252899246
"TRIML2",46.97140479,1.399532845,1.399532845,0.342913857,16.77260559,4.21372e-05,0.002433673,1.962,1.962,-0.968,8.4854e-11,1.02344e-09
"TYMP",374.0459343,1.042687818,1.042687818,0.190612223,-5.470204395,4.49517e-08,5.16818e-06,-0.222,0.222,5.91,0.475089913,0.556597787
"VNN1",49.19202262,1.885235063,1.885235063,0.341536378,30.6242037,3.13163e-08,3.74032e-06,1.873,1.873,0.261,1.48758e-09,1.43262e-08
"VTCN1",182.1986737,-1.072223154,1.072223154,0.198378047,5.404948649,6.4827e-08,7.25001e-06,1.832,1.832,-1.613,0.000162988,0.000532427
"XAF1",94.74943781,2.533035725,2.533035725,0.31835858,-7.956549274,1.76904e-15,4.03013e-13,2.948,2.948,2.556,7.07596e-39,2.67129e-36
"ZC3H12A",870.9271457,1.676098106,1.676098106,0.136181724,-12.30780506,8.22291e-35,5.32412e-32,0.654,0.654,5.661,0.004581057,0.009965954
"ZNF488",47.34138027,-1.137925177,1.137925177,0.320479137,3.550699705,0.000384209,0.015395874,-1.513,1.513,0.934,1.04697e-05,4.61109e-05
