"GENE_SYMBOL","baseMean","log2FoldChange","abs.log2FC.","lfcSE","stat","pvalue","padj","Log_FoldChange","adjLogFoldChange","logCPM","PValue","FDR_adjusted_P.value"
"IRAK2",190.4156231,1.601889621,1.601889621,0.181927817,-8.805083501,1.30755e-18,3.6558e-16,0.92,0.92,4.718,1.47727e-08,6.49851e-07
"IRF7",54.90470019,1.575217374,1.575217374,0.335556715,-4.694340186,2.67469e-06,0.00020958,3.268,3.268,5.174,2.57189e-40,1.97015e-37
"IRF9",677.301388,1.252539773,1.252539773,0.112277766,-11.15572403,6.7144e-29,3.17694e-26,1.135,1.135,5.53,7.76664e-14,6.76612e-12
"ITGB3",91.46770194,1.199981519,1.199981519,0.244365557,-4.910600053,9.07981e-07,8.09419e-05,1.534,1.534,-2.737,0.06349262,0.271299972
"IVL",2145.219732,1.040214811,1.040214811,0.132774993,-7.834418117,4.71019e-15,1.05354e-12,0,0,3.831,0.972650558,1
"KRT4",355.4211645,1.014906573,1.014906573,0.184715645,-5.494426701,3.91982e-08,4.54921e-06,-0.593,0.593,2.147,0.003784369,0.03631523
"KRT6B",2804.136584,1.550349726,1.550349726,0.109031781,-14.21924612,6.95987e-46,7.78366e-43,0.724,0.724,9.887,0.000780943,0.010326577
"LIF",972.5585976,1.309534112,1.309534112,0.11268198,-11.62150428,3.20444e-31,1.87719e-28,1.639,1.639,4.139,4.12873e-05,0.000826304
"LTB",27.11112867,1.640632278,1.640632278,0.437969511,14.1335655,0.000170278,0.007964874,1.916,1.916,-0.795,1.21839e-08,5.38102e-07
"MAFF",447.5019654,1.135253212,1.135253212,0.135506607,-8.377843998,5.3906e-17,1.38157e-14,0.586,0.586,5.118,0.008460173,0.06709409
"MAP3K8",70.3342951,1.063647912,1.063647912,0.263831057,16.29966736,5.40734e-05,0.002995421,0.797,0.797,1.224,0.000625457,0.008566292
"MAP7D2",54.27471523,-1.393441877,1.393441877,0.313714573,4.441750548,8.923e-06,0.000613244,-0.572,0.572,-0.91,0.07833758,0.309821852
"METTL7A",149.499051,-1.033728173,1.033728173,0.196839399,5.25163245,1.50757e-07,1.57171e-05,-0.423,0.423,0.674,0.167244911,0.477796513
"MIR221",49.07253265,-1.054632528,1.054632528,0.337087404,3.128661932,0.001756042,0.049547778,0.267,0.267,-3.707,0.956607417,1
"MMP13",70.51248616,1.096667429,1.096667429,0.302792129,-3.621849201,0.000292505,0.012365608,4.9,4.9,1.927,2.84673e-28,9.72925e-26
"MMP9",318.4500932,2.287329667,2.287329667,0.218545417,-10.46615251,1.23564e-25,4.90348e-23,0.272,0.272,7.042,0.22250056,0.556063667
"MRGPRX3",26.45569136,1.96104027,1.96104027,0.466654497,17.82849914,2.41735e-05,0.001494386,-0.114,0.114,3.54,0.505321727,0.812967494
"MX1",427.8200828,2.51217385,2.51217385,0.198363082,-12.66452316,9.29836e-37,6.72873e-34,5.604,5.604,8.632,6.46669e-53,1.19715e-49
"MX2",60.85341305,2.222307293,2.222307293,0.373385235,-5.951781394,2.6524e-09,3.79416e-07,5.94,5.94,6.271,1.94529e-54,5.40184e-51
"MYEOV",68.78622261,1.284266609,1.284266609,0.280355485,21.03477275,4.51023e-06,0.000336272,0.24,0.24,-1.113,0.390580344,0.730119685
"MYLK",90.68030293,-1.426723178,1.426723178,0.264517215,5.393687438,6.90262e-08,7.58179e-06,0.012,0.012,2.347,0.942626244,0.999501483
"NANOS1",33.97159896,-1.51573542,1.51573542,0.395465781,3.832785266,0.000126701,0.006209841,-0.912,0.912,0.983,1.72639e-07,6.11671e-06
"NID1",77.58804313,-1.226832281,1.226832281,0.277866084,4.415192606,1.0092e-05,0.000674739,0.679,0.679,0.051,0.009096093,0.070802282
